Shopping;Distrito;Regiao
Cevahir AVM;Sisli;Europeia
Emaar Square Mall;Uskudar;Asiatica
Forum Istanbul;Bayrampasa;Europeia
Istinye Park;Sariyer;Europeia
Kanyon;Sisli;Europeia
Mall of Istanbul;Ikitelli;Europeia
Metrocity;Besiktas;Europeia
Metropol AVM;Atasehir;Asiatica
Viaport Outlet;Pendik;Asiatica
Zorlu Center;Besiktas;Europeia
